Pregunta,RespuestaCorrecta,Opcion2,Opcion3,Opcion4,Dificultad,Categoria
¿Cuál es la capital de Italia?,Roma,Milán,Nápoles,Turín,Fácil,Geografía
¿En qué continente está Egipto?,África,Asia,Europa,América,Fácil,Geografía
¿Qué planeta es el más grande?,Júpiter,Saturno,Marte,Tierra,Fácil,Ciencia
¿Quién descubrió América?,Cristóbal Colón,Magallanes,Cortés,Pizarro,Fácil,Historia
¿Qué animal pone huevos?,Gallina,Perro,Gato,Vaca,Fácil,Naturaleza
¿Cuál es el océano más pequeño?,Ártico,Índico,Atlántico,Pacífico,Fácil,Geografía
¿Qué gas necesitamos para respirar?,Oxígeno,Helio,Carbono,Nitrógeno,Fácil,Ciencia
¿En qué país está la Torre Eiffel?,Francia,Italia,España,Bélgica,Fácil,Historia
¿Qué animal es conocido por su lentitud?,Perezoso,Tigre,Perro,Águila,Fácil,Naturaleza
¿Cuántos lados tiene un triángulo?,Tres,Cuatro,Cinco,Seis,Fácil,Ciencia
¿Dónde se originaron los Juegos Olímpicos?,Grecia,Roma,Egipto,China,Media,Historia
¿Qué país tiene más población?,China,India,EEUU,Rusia,Media,Geografía
¿Qué órgano filtra la sangre?,Riñón,Hígado,Corazón,Pulmón,Media,Ciencia
¿Qué animal es un marsupial?,Canguro,León,Elefante,Caballo,Media,Naturaleza
¿Quién pintó La noche estrellada?,Van Gogh,Picasso,Monet,Rembrandt,Media,Arte
¿Qué río cruza París?,Sena,Danubio,Loira,Rin,Media,Geografía
¿Qué científico formuló la gravedad?,Newton,Einstein,Galileo,Kepler,Media,Ciencia
¿Qué civilización construyó Machu Picchu?,Inca,Maya,Azteca,Olmeca,Media,Historia
¿Qué animal puede vivir sin agua largos periodos?,Camello,Caballo,Vaca,Perro,Media,Naturaleza
¿Dónde está el desierto del Namib?,Namibia,Chad,Egipto,Sudán,Muy Difícil,Geografía
¿Qué elemento tiene símbolo Re?,Renio,Radón,Rutenio,Roentgenio,Muy Difícil,Ciencia
¿Qué imperio usó escritura cuneiforme?,Sumerio,Romano,Egipcio,Inca,Muy Difícil,Historia
¿Qué animal vive en fosas abisales?,Pez rape,Tiburón,Ballena,Delfín,Muy Difícil,Naturaleza
¿Dónde se encuentra el desierto de Taklamakán?,China,Mongolia,Kazajistán,Irán,Muy Difícil,Geografía
¿Qué químico descubrió el teflón?,Roy Plunkett,Berzelius,Mendeleev,Curie,Muy Difícil,Ciencia
Pregunta,RespuestaCorrecta,Opcion2,Opcion3,Opcion4,Dificultad,Categoria
¿Cuál es la capital de Alemania?,Berlín,Hamburgo,Múnich,Colonia,Fácil,Geografía
¿Qué animal es conocido como el rey de la selva?,León,Tigre,Jaguar,Puma,Fácil,Naturaleza
¿Cuántos planetas hay en el sistema solar?,Ocho,Nueve,Siete,Diez,Fácil,Ciencia
¿En qué país nació Napoleón Bonaparte?,Francia,Italia,España,Austria,Fácil,Historia
¿Qué forma tiene una pelota?,Esfera,Cubo,Cono,Pirámide,Fácil,Ciencia
¿Qué océano baña Japón?,Pacífico,Índico,Atlántico,Ártico,Fácil,Geografía
¿Qué animal es famoso por su memoria?,Elefante,Perro,Gato,Caballo,Fácil,Naturaleza
¿Quién fue el primer hombre en la Luna?,Neil Armstrong,Buzz Aldrin,Yuri Gagarin,Collins,Fácil,Historia
¿Qué gas es más abundante en la atmósfera?,Nitrógeno,Oxígeno,Argón,Carbono,Fácil,Ciencia
¿En qué continente está Argentina?,América del Sur,Europa,África,Asia,Fácil,Geografía
¿Qué animal vive en el Ártico?,Oso polar,León,Tigre,Camello,Fácil,Naturaleza
¿Cuál es el planeta más cercano al Sol?,Mercurio,Venus,Tierra,Marte,Fácil,Ciencia
¿Qué país inventó la pizza?,Italia,Francia,España,Grecia,Fácil,Historia
¿Cuántas patas tiene una araña?,Ocho,Seis,Diez,Cuatro,Fácil,Naturaleza
¿Qué estrella está en el centro del sistema solar?,Sol,Polaris,Sirio,Betelgeuse,Fácil,Ciencia
¿En qué país está el monte Fuji?,Japón,China,Corea,Nepal,Media,Geografía
¿Qué órgano controla el sistema nervioso?,Cerebro,Corazón,Hígado,Pulmón,Media,Ciencia
¿Qué animal es nocturno?,Búho,Águila,Gallina,Pato,Media,Naturaleza
¿Qué imperio construyó el Coliseo?,Romano,Griego,Persa,Egipcio,Media,Historia
